bam_accession	fragment_length	bam_accession_control	fragment_length_control	target	biosample	experiment_accession
ENCFF207EHB	90	ENCFF857MFM	130	BHLHE40-human	A549	ENCSR000DYJ
ENCFF848YES	130	ENCFF857MFM	130	BHLHE40-human	A549	ENCSR000DYJ
ENCFF742OVT	110	ENCFF872FDX	95	SFPQ-human	K562	ENCSR647PJW
ENCFF714FXJ	120	ENCFF691TKO	100	SP4-human	H1	ENCSR000BQV
ENCFF899NMU	120	ENCFF691TKO	100	SP4-human	H1	ENCSR000BQV
ENCFF747PIH	90	ENCFF829HZY	155	CHD7-human	K562	ENCSR000AVD
ENCFF089UIV	125	ENCFF265HDZ	90	CTCF-human	endothelialcellofumbilicalveinmalenewborn	ENCSR000DVP
ENCFF622IWH	110	ENCFF265HDZ	90	CTCF-human	endothelialcellofumbilicalveinmalenewborn	ENCSR000DVP
ENCFF591QUF	105	ENCFF946WAV	120	CTCF-human	MCF7originatedfromMCF7	ENCSR000DMV
ENCFF783NXW	100	ENCFF946WAV	120	CTCF-human	MCF7originatedfromMCF7	ENCSR000DMV
ENCFF595HJO	135	ENCFF772PJM	120	SP1-human	K562	ENCSR000BKO
ENCFF045AXI	120	ENCFF772PJM	120	SP1-human	K562	ENCSR000BKO
ENCFF381ISL	140	ENCFF570JEY	80	FOXA2-human	A549treatedwith002ethanolfor1hour	ENCSR000BRE
ENCFF459MFF	115	ENCFF570JEY	80	FOXA2-human	A549treatedwith002ethanolfor1hour	ENCSR000BRE
ENCFF987KST	105	ENCFF946WAV	120	MYC-human	MCF7treatedwith100nM17betaestradiolfor45minutes	ENCSR000DMP
ENCFF870YIK	115	ENCFF946WAV	120	MYC-human	MCF7treatedwith100nM17betaestradiolfor45minutes	ENCSR000DMP
ENCFF649OHT	100	ENCFF381ASB	105	MYC-human	H1	ENCSR000DLI
ENCFF839CKS	100	ENCFF505NPR	90	ZEB1-human	HepG2	ENCSR000BVN
ENCFF181VQE	120	ENCFF505NPR	90	ZEB1-human	HepG2	ENCSR000BVN
ENCFF782IDR	90	ENCFF562HPN	105	TCF3-human	GM12878	ENCSR000BQT
ENCFF783AQJ	100	ENCFF562HPN	105	TCF3-human	GM12878	ENCSR000BQT
ENCFF084WSP	105	ENCFF023NGN	115	NRF1-human	K562	ENCSR000EHH
ENCFF158AWG	115	ENCFF962BWT	115	CTCF-human	keratinocytefemale	ENCSR000DWX
ENCFF317OFS	165	ENCFF962BWT	115	CTCF-human	keratinocytefemale	ENCSR000DWX
ENCFF168LHY	190	ENCFF292GHV	95	CTCF-human	keratinocytefemale	ENCSR000ALJ
ENCFF145LCR	185	ENCFF292GHV	95	CTCF-human	keratinocytefemale	ENCSR000ALJ
ENCFF775IQB	145	ENCFF292GHV	95	CTCF-human	keratinocytefemale	ENCSR000ALJ
ENCFF194DLC	145	ENCFF503VFG	110	CTCF-human	T47Dtreatedwith002dimethylsulfoxidefor1hour	ENCSR000BNO
ENCFF615LHE	110	ENCFF503VFG	110	CTCF-human	T47Dtreatedwith002dimethylsulfoxidefor1hour	ENCSR000BNO
ENCFF003OJN	95	ENCFF020CFW	80	CTCF-human	K562	ENCSR000DMA
ENCFF856DBD	120	ENCFF020CFW	80	CTCF-human	K562	ENCSR000DMA
ENCFF258HHO	125	ENCFF020CFW	80	CTCF-human	K562	ENCSR000DMA
ENCFF386SPJ	90	ENCFF747NOF	65	SMAD5-human	GM12878	ENCSR251OVJ
ENCFF346SPJ	120	ENCFF747NOF	65	SMAD5-human	GM12878	ENCSR251OVJ
ENCFF640HPW	70	ENCFF341IVK	70	STAT1-human	GM23338originatedfromGM23248	ENCSR071NFQ
ENCFF244IJF	115	ENCFF332CUX	90	IRF1-human	K562treatedwithinterferonalphafor6hours	ENCSR000EGL
ENCFF259RRK	120	ENCFF332CUX	90	IRF1-human	K562treatedwithinterferonalphafor6hours	ENCSR000EGL
ENCFF246NWJ	110	ENCFF229FMX	70	CEBPA-human	HepG2geneticallymodifiedusingCRISPR	ENCSR142IGM
ENCFF999YSD	120	ENCFF229FMX	70	CEBPA-human	HepG2geneticallymodifiedusingCRISPR	ENCSR142IGM
ENCFF636PUW	105	ENCFF627CIM	50	CTCF-human	GM12873	ENCSR000DRP
ENCFF877MTF	115	ENCFF627CIM	50	CTCF-human	GM12873	ENCSR000DRP
ENCFF965BTP	165	ENCFF370PSF	100	GABPA-human	liverfemalechild4years	ENCSR350ORK
ENCFF872UEY	100	ENCFF370PSF	100	GABPA-human	liverfemalechild4years	ENCSR350ORK
ENCFF349CJZ	155	ENCFF107RUY	190	CTCF-human	MCF7	ENCSR560BUE
ENCFF626ZUD	175	ENCFF107RUY	190	CTCF-human	MCF7	ENCSR560BUE
ENCFF118HAI	210	ENCFF675VKU	190	CTCF-human	esophagussquamousepitheliumfemaleadult51years	ENCSR266UTR
ENCFF349TVK	125	ENCFF282PXC	130	MXI1-human	SKNSH	ENCSR000EIA
ENCFF955PGN	115	ENCFF282PXC	130	MXI1-human	SKNSH	ENCSR000EIA
ENCFF965ISU	150	ENCFF829HZY	155	RNF2-human	K562	ENCSR000AUA
ENCFF205XEH	250	ENCFF114ODP	210	CTCF-human	A549treatedwith002ethanolfor1hour	ENCSR000AUF
ENCFF893HMO	100	ENCFF968MUT	115	CTCF-human	SKNSHtreatedwith6mcMalltransretinoicacidfor48hours	ENCSR000DXQ
ENCFF531WAL	105	ENCFF968MUT	115	CTCF-human	SKNSHtreatedwith6mcMalltransretinoicacidfor48hours	ENCSR000DXQ
ENCFF031TYH	220	ENCFF473WBH	200	REST-human	H1	ENCSR663WAR
ENCFF277PVA	220	ENCFF473WBH	200	REST-human	H1	ENCSR663WAR
ENCFF334BPF	150	ENCFF493VPN	75	ZNF644-human	K562geneticallymodifiedusingstabletransfection	ENCSR729HVR
ENCFF095OEN	165	ENCFF493VPN	75	ZNF644-human	K562geneticallymodifiedusingstabletransfection	ENCSR729HVR
ENCFF391HFU	120	ENCFF234NVU	110	CTCF-human	K562	ENCSR000BPJ
ENCFF691BQZ	115	ENCFF234NVU	110	CTCF-human	K562	ENCSR000BPJ
ENCFF685DBQ	240	ENCFF849QON	245	CTCF-human	Bcellfemaleadult27yearsandfemaleadult43years	ENCSR000AUV
ENCFF112XEQ	230	ENCFF849QON	245	CTCF-human	Bcellfemaleadult27yearsandfemaleadult43years	ENCSR000AUV
ENCFF866YKI	175	ENCFF370PSF	100	NR2F2-human	liverfemalechild4years	ENCSR168SMX
ENCFF263YXM	145	ENCFF370PSF	100	NR2F2-human	liverfemalechild4years	ENCSR168SMX
ENCFF388QKQ	105	ENCFF165KZY	115	MAX-human	HepG2	ENCSR000EDS
ENCFF675JRZ	100	ENCFF165KZY	115	MAX-human	HepG2	ENCSR000EDS
ENCFF677RAA	135	ENCFF596HJP	145	CTCF-human	A549	ENCSR000DPF
ENCFF905NBP	135	ENCFF596HJP	145	CTCF-human	A549	ENCSR000DPF
ENCFF147JLU	110	ENCFF165KZY	115	MAZ-human	HepG2	ENCSR000EDN
ENCFF932DKG	110	ENCFF165KZY	115	MAZ-human	HepG2	ENCSR000EDN
ENCFF853EOZ	115	ENCFF827ILE	110	PAX5-human	GM12892	ENCSR000BJI
ENCFF968WVT	120	ENCFF827ILE	110	PAX5-human	GM12892	ENCSR000BJI
ENCFF578MBG	120	ENCFF943DZB	85	ZBTB33-human	HepG2	ENCSR000BHR
ENCFF047SQQ	100	ENCFF943DZB	85	ZBTB33-human	HepG2	ENCSR000BHR
ENCFF885KSI	115	ENCFF579QDW	130	STAT1-human	GM12878	ENCSR000DZM
ENCFF111ILW	90	ENCFF579QDW	130	STAT1-human	GM12878	ENCSR000DZM
ENCFF641ONS	100	ENCFF513EWK	90	MAFK-human	H1	ENCSR000EBS
ENCFF552FKA	150	ENCFF513EWK	90	MAFK-human	H1	ENCSR000EBS
ENCFF991WOD	135	ENCFF248LWZ	100	XRCC5-human	K562	ENCSR506KWJ
ENCFF232PSU	140	ENCFF248LWZ	100	XRCC5-human	K562	ENCSR506KWJ
ENCFF861GCW	215	ENCFF817BRE	1175	CTCF-human	stomachfemaleadult51years	ENCSR361KVZ
ENCFF511JPZ	105	ENCFF719KPR	70	JUND-human	T47D	ENCSR000BVO
ENCFF794NQC	120	ENCFF719KPR	70	JUND-human	T47D	ENCSR000BVO
ENCFF551SVA	110	ENCFF250FLP	120	CTCF-human	A549treatedwith100nMdexamethasonefor1hour	ENCSR000BHV
ENCFF358BTX	110	ENCFF250FLP	120	CTCF-human	A549treatedwith100nMdexamethasonefor1hour	ENCSR000BHV
ENCFF133IED	130	ENCFF772PJM	120	ZBTB33-human	K562	ENCSR000BKF
ENCFF773RXE	135	ENCFF772PJM	120	ZBTB33-human	K562	ENCSR000BKF
ENCFF466XEY	130	ENCFF282PXC	130	EP300-human	SKNSH	ENCSR000EHV
ENCFF099HWJ	140	ENCFF282PXC	130	EP300-human	SKNSH	ENCSR000EHV
ENCFF208HMD	80	ENCFF802YSD	80	POU5F1-human	bipolarneuronoriginatedfromGM23338treatedwith05mcgmLdoxycyclinehyclatefor4days	ENCSR362VCG
ENCFF213ZOP	125	ENCFF656HEF	110	USF1-human	A549treatedwith002ethanolfor1hour	ENCSR000BPV
ENCFF017CKG	115	ENCFF656HEF	110	USF1-human	A549treatedwith002ethanolfor1hour	ENCSR000BPV
ENCFF743QME	95	ENCFF285LVE	110	SRF-human	HepG2	ENCSR000BLV
ENCFF399HKG	105	ENCFF285LVE	110	SRF-human	HepG2	ENCSR000BLV
ENCFF826IIW	75	ENCFF020CFW	80	MYC-human	K562	ENCSR000DLZ
ENCFF936OBZ	85	ENCFF020CFW	80	MYC-human	K562	ENCSR000DLZ
ENCFF440DMK	65	ENCFF020CFW	80	MYC-human	K562	ENCSR000DLZ
ENCFF110MYH	120	ENCFF682GMA	140	CTCF-human	bronchialepithelialcell	ENCSR000DXI
ENCFF867JLT	105	ENCFF682GMA	140	CTCF-human	bronchialepithelialcell	ENCSR000DXI
ENCFF387ZWT	270	ENCFF945IIQ	110	JUND-human	K562geneticallymodifiedusingstabletransfection	ENCSR000DJX
ENCFF110QRO	130	ENCFF945IIQ	110	JUND-human	K562geneticallymodifiedusingstabletransfection	ENCSR000DJX
ENCFF661MOG	105	ENCFF945IIQ	110	JUND-human	K562geneticallymodifiedusingstabletransfection	ENCSR000DJX
ENCFF557TWG	105	ENCFF229FMX	70	HMG20B-human	HepG2geneticallymodifiedusingCRISPR	ENCSR925QAW
ENCFF940MCJ	90	ENCFF229FMX	70	HMG20B-human	HepG2geneticallymodifiedusingCRISPR	ENCSR925QAW
ENCFF077LTT	110	ENCFF229FMX	70	ZFP1-human	HepG2geneticallymodifiedusingCRISPR	ENCSR586DEH
ENCFF513QRO	90	ENCFF229FMX	70	ZFP1-human	HepG2geneticallymodifiedusingCRISPR	ENCSR586DEH
ENCFF569ZLS	155	ENCFF951CQL	95	HNRNPK-human	HepG2	ENCSR519QAA
ENCFF979WGI	160	ENCFF951CQL	95	HNRNPK-human	HepG2	ENCSR519QAA
ENCFF836ZOB	100	ENCFF336OEL	50	CTCF-human	astrocyteofthespinalcord	ENCSR000DSU
ENCFF282WQV	130	ENCFF336OEL	50	CTCF-human	astrocyteofthespinalcord	ENCSR000DSU
ENCFF393WLE	235	ENCFF194ETR	105	CTCF-human	coronaryarteryfemaleadult51years	ENCSR447ANW
ENCFF917WPY	110	ENCFF272DEZ	150	CEBPZ-human	GM12878	ENCSR347NOB
ENCFF923TDM	135	ENCFF272DEZ	150	CEBPZ-human	GM12878	ENCSR347NOB
ENCFF186OVM	90	ENCFF165KZY	115	CEBPZ-human	HepG2	ENCSR000EDO
ENCFF799JNH	105	ENCFF165KZY	115	CEBPZ-human	HepG2	ENCSR000EDO
ENCFF538VCH	175	ENCFF434HLD	105	CTCF-human	GM12878	ENCSR000AKB
ENCFF994NWU	165	ENCFF434HLD	105	CTCF-human	GM12878	ENCSR000AKB
ENCFF021CMK	100	ENCFF772PJM	120	EGR1-human	K562	ENCSR000BNE
ENCFF645IYJ	110	ENCFF772PJM	120	EGR1-human	K562	ENCSR000BNE
ENCFF026AUZ	145	ENCFF386PAD	110	CTCF-human	fibroblastoflungfemalechild11yearsandmaleadult45years	ENCSR000ANO
ENCFF892QTE	145	ENCFF386PAD	110	CTCF-human	fibroblastoflungfemalechild11yearsandmaleadult45years	ENCSR000ANO
ENCFF086GHN	125	ENCFF579QDW	130	RFX5-human	GM12878	ENCSR000DZW
ENCFF707BSC	110	ENCFF579QDW	130	RFX5-human	GM12878	ENCSR000DZW
ENCFF458VET	120	ENCFF503VFG	110	GATA3-human	T47Dtreatedwith002dimethylsulfoxidefor1hour	ENCSR000BMX
ENCFF600KCK	115	ENCFF503VFG	110	GATA3-human	T47Dtreatedwith002dimethylsulfoxidefor1hour	ENCSR000BMX
ENCFF975ZXB	110	ENCFF023NGN	115	ZNF143-human	K562	ENCSR000EGP
ENCFF682XGC	110	ENCFF023NGN	115	ZNF143-human	K562	ENCSR000EGP
ENCFF142CAK	225	ENCFF587DDD	100	CTCF-human	gastrocnemiusmedialisfemaleadult51years	ENCSR355ALW
ENCFF297KNV	200	ENCFF587DDD	100	CTCF-human	gastrocnemiusmedialisfemaleadult51years	ENCSR355ALW
ENCFF179DZP	105	ENCFF709XAA	65	MYNN-human	K562	ENCSR737LTZ
ENCFF022IWG	105	ENCFF709XAA	65	MYNN-human	K562	ENCSR737LTZ
ENCFF811FBC	145	ENCFF732CPP	95	CTCF-human	AG04450	ENCSR000DPM
ENCFF402WKZ	105	ENCFF732CPP	95	CTCF-human	AG04450	ENCSR000DPM
ENCFF587WWS	125	ENCFF772PJM	120	USF1-human	K562	ENCSR000BKT
ENCFF794ABP	160	ENCFF772PJM	120	USF1-human	K562	ENCSR000BKT
ENCFF833ZLA	115	ENCFF175NMQ	90	REST-human	HepG2	ENCSR000BOT
ENCFF701RBP	130	ENCFF175NMQ	90	REST-human	HepG2	ENCSR000BOT
ENCFF397ZVS	120	ENCFF304AZH	95	TRIM28-human	K562	ENCSR000BRW
ENCFF793KZB	120	ENCFF304AZH	95	TRIM28-human	K562	ENCSR000BRW
ENCFF904CPI	125	ENCFF304AZH	95	TRIM28-human	K562	ENCSR000BRW
ENCFF206YYH	120	ENCFF304AZH	95	TRIM28-human	K562	ENCSR000BRW
ENCFF904FSU	140	ENCFF656HEF	110	GABPA-human	A549treatedwith002ethanolfor1hour	ENCSR000BPY
ENCFF485RGA	150	ENCFF656HEF	110	GABPA-human	A549treatedwith002ethanolfor1hour	ENCSR000BPY
ENCFF949TUZ	140	ENCFF948LKH	135	SP1-human	H1	ENCSR000BIR
ENCFF346XVM	125	ENCFF948LKH	135	SP1-human	H1	ENCSR000BIR
ENCFF693QLZ	140	ENCFF870RFE	55	CTCF-human	epithelialcellofproximaltubule	ENCSR000DXD
ENCFF033MWR	145	ENCFF870RFE	55	CTCF-human	epithelialcellofproximaltubule	ENCSR000DXD
ENCFF250XOF	110	ENCFF229FMX	70	ZKSCAN8-human	HepG2geneticallymodifiedusingCRISPR	ENCSR808FFI
ENCFF126WTF	125	ENCFF229FMX	70	ZKSCAN8-human	HepG2geneticallymodifiedusingCRISPR	ENCSR808FFI
ENCFF519GHQ	170	ENCFF604HFX	80	GABPA-human	MCF7geneticallymodifiedusingstabletransfection	ENCSR038RXU
ENCFF191KBY	205	ENCFF604HFX	80	GABPA-human	MCF7geneticallymodifiedusingstabletransfection	ENCSR038RXU
ENCFF267MKV	115	ENCFF229FMX	70	RXRB-human	HepG2geneticallymodifiedusingCRISPR	ENCSR560SEP
ENCFF728BHH	110	ENCFF229FMX	70	RXRB-human	HepG2geneticallymodifiedusingCRISPR	ENCSR560SEP
ENCFF400BSN	105	ENCFF023NGN	115	JUND-human	K562	ENCSR000EGN
ENCFF321ZQU	110	ENCFF023NGN	115	JUND-human	K562	ENCSR000EGN
ENCFF049VHY	140	ENCFF229FMX	70	NFYC-human	HepG2geneticallymodifiedusingCRISPR	ENCSR569ARC
ENCFF379WXQ	130	ENCFF229FMX	70	NFYC-human	HepG2geneticallymodifiedusingCRISPR	ENCSR569ARC
ENCFF028WLP	120	ENCFF165KZY	115	BHLHE40-human	HepG2	ENCSR000EDT
ENCFF578TRZ	110	ENCFF165KZY	115	BHLHE40-human	HepG2	ENCSR000EDT
ENCFF589UVV	140	ENCFF322EZT	100	CUX1-human	K562geneticallymodifiedusingCRISPR	ENCSR178NTX
ENCFF060WJH	180	ENCFF322EZT	100	CUX1-human	K562geneticallymodifiedusingCRISPR	ENCSR178NTX
ENCFF055QMP	110	ENCFF579QDW	130	ZNF384-human	GM12878	ENCSR000DYP
ENCFF230KKA	100	ENCFF579QDW	130	ZNF384-human	GM12878	ENCSR000DYP
ENCFF171VBC	100	ENCFF023NGN	115	ZNF384-human	K562	ENCSR000EFP
ENCFF140ZMN	90	ENCFF023NGN	115	ZNF384-human	K562	ENCSR000EFP
ENCFF411KDZ	120	ENCFF579QDW	130	JUND-human	GM12878	ENCSR000DYS
ENCFF764KYI	90	ENCFF579QDW	130	JUND-human	GM12878	ENCSR000DYS
ENCFF406KPS	110	ENCFF503VFG	110	ESR1-human	T47Dtreatedwith002dimethylsulfoxidefor1hour	ENCSR000BLL
ENCFF414YAT	100	ENCFF503VFG	110	ESR1-human	T47Dtreatedwith002dimethylsulfoxidefor1hour	ENCSR000BLL
ENCFF553WMU	130	ENCFF482LDC	100	MYC-human	K562treatedwithInterferongammafor6hours	ENCSR000EZU
ENCFF014DRH	105	ENCFF482LDC	100	MYC-human	K562treatedwithInterferongammafor6hours	ENCSR000EZU
ENCFF760WGC	135	ENCFF375ZQH	100	HNRNPK-human	K562	ENCSR014RCS
ENCFF588GTL	140	ENCFF375ZQH	100	HNRNPK-human	K562	ENCSR014RCS
ENCFF634BDN	195	ENCFF711KPW	120	ZNF148-human	K562geneticallymodifiedusingstabletransfection	ENCSR018MSO
ENCFF210JIP	180	ENCFF711KPW	120	ZNF148-human	K562geneticallymodifiedusingstabletransfection	ENCSR018MSO
ENCFF835GHC	120	ENCFF715JBE	105	TBP-human	K562	ENCSR000EHA
ENCFF572IXE	110	ENCFF715JBE	105	TBP-human	K562	ENCSR000EHA
ENCFF011XRF	75	ENCFF709XAA	65	RUNX1-human	K562	ENCSR588AKU
ENCFF812KIP	110	ENCFF709XAA	65	RUNX1-human	K562	ENCSR588AKU
ENCFF046PED	165	ENCFF256EBS	70	VEZF1-human	K562geneticallymodifiedusingCRISPR	ENCSR189YMA
ENCFF698KWQ	165	ENCFF256EBS	70	VEZF1-human	K562geneticallymodifiedusingCRISPR	ENCSR189YMA
ENCFF149SVY	115	ENCFF272GNJ	50	CTCF-human	fibroblastofmammaryglandfemale	ENCSR000DUU
ENCFF161AGR	105	ENCFF272GNJ	50	CTCF-human	fibroblastofmammaryglandfemale	ENCSR000DUU
ENCFF262MCV	220	ENCFF301JHG	185	CTCF-human	thoracicaortamaleadult37years	ENCSR549TXG
ENCFF693JVP	195	ENCFF037PYE	105	CEBPG-human	K562geneticallymodifiedusingstabletransfection	ENCSR620VIC
ENCFF620VNP	235	ENCFF037PYE	105	CEBPG-human	K562geneticallymodifiedusingstabletransfection	ENCSR620VIC
ENCFF822LTQ	125	ENCFF320ZWB	80	CTCF-human	MCF7	ENCSR000DWH
ENCFF274JRZ	125	ENCFF320ZWB	80	CTCF-human	MCF7	ENCSR000DWH
ENCFF031UNH	155	ENCFF645CCA	280	CTCF-human	HepG2	ENCSR000AMA
ENCFF094DVS	155	ENCFF645CCA	280	CTCF-human	HepG2	ENCSR000AMA
ENCFF897MGD	95	ENCFF946WAV	120	CTCF-human	MCF7originatedfromMCF7	ENCSR000DMO
ENCFF181EQP	100	ENCFF946WAV	120	CTCF-human	MCF7originatedfromMCF7	ENCSR000DMO
ENCFF956OLR	140	ENCFF165KZY	115	TBP-human	HepG2	ENCSR000EEL
ENCFF031LWP	140	ENCFF165KZY	115	TBP-human	HepG2	ENCSR000EEL
ENCFF713GDD	105	ENCFF754WTG	80	CEBPB-human	GM12878	ENCSR000BRX
ENCFF310YCW	95	ENCFF754WTG	80	CEBPB-human	GM12878	ENCSR000BRX
ENCFF686NVV	150	ENCFF370PSF	100	YY1-human	liverfemalechild4years	ENCSR994YLZ
ENCFF550RLX	160	ENCFF370PSF	100	YY1-human	liverfemalechild4years	ENCSR994YLZ
ENCFF603ARU	240	ENCFF229FMX	70	MYRF-human	HepG2geneticallymodifiedusingCRISPR	ENCSR792MZV
ENCFF239NEJ	105	ENCFF229FMX	70	MYRF-human	HepG2geneticallymodifiedusingCRISPR	ENCSR792MZV
ENCFF212PJG	110	ENCFF513EWK	90	CEBPB-human	H1	ENCSR000EBV
ENCFF506VMG	120	ENCFF513EWK	90	CEBPB-human	H1	ENCSR000EBV
ENCFF178SXE	85	ENCFF285LVE	110	CTCF-human	HepG2	ENCSR000BIE
ENCFF435DKZ	120	ENCFF285LVE	110	CTCF-human	HepG2	ENCSR000BIE
ENCFF178FQM	110	ENCFF229FMX	70	NR2F1-human	HepG2geneticallymodifiedusingCRISPR	ENCSR662EOU
ENCFF785WJN	110	ENCFF229FMX	70	NR2F1-human	HepG2geneticallymodifiedusingCRISPR	ENCSR662EOU
ENCFF192DDJ	115	ENCFF165KZY	115	ARID3A-human	HepG2	ENCSR000EDP
ENCFF065BJO	115	ENCFF165KZY	115	ARID3A-human	HepG2	ENCSR000EDP
ENCFF978GYX	280	ENCFF645CCA	280	CBX2-human	HepG2	ENCSR801GJU
ENCFF778SLS	190	ENCFF645CCA	280	CBX2-human	HepG2	ENCSR801GJU
ENCFF922HYP	95	ENCFF353NNK	85	CTCF-human	AG04449	ENCSR000DPG
ENCFF350KMY	90	ENCFF353NNK	85	CTCF-human	AG04449	ENCSR000DPG
ENCFF215XNC	190	ENCFF992DZR	210	CTCF-human	bodyofpancreasfemaleadult51years	ENCSR585KBH
ENCFF314KHY	95	ENCFF715JBE	105	UBTF-human	K562	ENCSR000EFZ
ENCFF012LYY	95	ENCFF715JBE	105	UBTF-human	K562	ENCSR000EFZ
ENCFF327HGF	120	ENCFF229FMX	70	ZBTB26-human	HepG2geneticallymodifiedusingCRISPR	ENCSR184SVO
ENCFF578RKV	100	ENCFF229FMX	70	ZBTB26-human	HepG2geneticallymodifiedusingCRISPR	ENCSR184SVO
ENCFF003FNG	110	ENCFF577FNG	130	ETV6-human	K562	ENCSR124BJR
ENCFF417FHN	135	ENCFF577FNG	130	ETV6-human	K562	ENCSR124BJR
ENCFF267AMC	205	ENCFF293DEQ	100	ZNF274-human	NT2D1	ENCSR000EWY
ENCFF218VQI	185	ENCFF293DEQ	100	ZNF274-human	NT2D1	ENCSR000EWY
ENCFF417HNM	70	ENCFF156FED	110	ZMIZ1-human	K562	ENCSR907JPB
ENCFF384WCY	110	ENCFF156FED	110	ZMIZ1-human	K562	ENCSR907JPB
ENCFF754RTV	90	ENCFF918AJW	110	MAZ-human	A549	ENCSR636YLV
ENCFF215YFO	130	ENCFF918AJW	110	MAZ-human	A549	ENCSR636YLV
ENCFF318YMR	220	ENCFF530TVV	200	GATA3-human	SHSY5Y	ENCSR000EXZ
ENCFF545GLE	215	ENCFF530TVV	200	GATA3-human	SHSY5Y	ENCSR000EXZ
ENCFF932FED	90	ENCFF506QEL	75	ZMYM3-human	HepG2	ENCSR848YWD
ENCFF361SFX	115	ENCFF506QEL	75	ZMYM3-human	HepG2	ENCSR848YWD
ENCFF392GZX	115	ENCFF156NSV	105	GATA1-human	K562	ENCSR000EFT
ENCFF431ZVW	110	ENCFF156NSV	105	GATA1-human	K562	ENCSR000EFT
ENCFF856IKR	225	ENCFF887QKP	185	ZNF274-human	GM08714	ENCSR000EUI
ENCFF596VUL	200	ENCFF887QKP	185	ZNF274-human	GM08714	ENCSR000EUI
ENCFF399QIP	105	ENCFF438FFV	100	BATF-human	GM12878	ENCSR000BGT
ENCFF802IZN	105	ENCFF438FFV	100	BATF-human	GM12878	ENCSR000BGT
ENCFF845AVW	280	ENCFF893PKD	240	GATA1-human	erythroblastmale	ENCSR000EXP
ENCFF525TNI	290	ENCFF893PKD	240	GATA1-human	erythroblastmale	ENCSR000EXP
ENCFF599NFC	120	ENCFF440RZX	105	NR3C1-human	A549treatedwith50nMdexamethasonefor1hour	ENCSR000BHF
ENCFF703HTN	140	ENCFF440RZX	105	NR3C1-human	A549treatedwith50nMdexamethasonefor1hour	ENCSR000BHF
ENCFF428OAR	165	ENCFF229FMX	70	ZGPAT-human	HepG2geneticallymodifiedusingCRISPR	ENCSR704IGU
ENCFF103BEQ	130	ENCFF229FMX	70	ZGPAT-human	HepG2geneticallymodifiedusingCRISPR	ENCSR704IGU
ENCFF154YTN	105	ENCFF304AZH	95	CEBPB-human	K562	ENCSR000BRQ
ENCFF314OQP	115	ENCFF304AZH	95	CEBPB-human	K562	ENCSR000BRQ
ENCFF006GQZ	110	ENCFF023NGN	115	MYC-human	K562	ENCSR000EGJ
ENCFF641HZR	105	ENCFF023NGN	115	MYC-human	K562	ENCSR000EGJ
ENCFF433SUG	205	ENCFF635ZZS	70	ZNF639-human	K562geneticallymodifiedusingCRISPR	ENCSR845BCL
ENCFF461OAN	195	ENCFF635ZZS	70	ZNF639-human	K562geneticallymodifiedusingCRISPR	ENCSR845BCL
ENCFF265TUU	75	ENCFF534YMV	145	CTCF-human	LNCaPcloneFGC	ENCSR000DMF
